City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Afyonkarahisar,TR,60.33,moderate rain,38.75,30.67,
1,Lagoa,PT,62.74,broken clouds,39.05,-27.98,
2,Mitsamiouli,KM,78.58,clear sky,-11.38,43.28,
3,Ushuaia,AR,41.0,heavy intensity rain,-54.8,-68.3,
4,Ribeira Grande,PT,62.6,scattered clouds,38.52,-28.7,
6,Torbay,CA,54.0,overcast clouds,47.67,-52.73,
7,Bonavista,CA,51.01,overcast clouds,48.65,-53.11,
8,Nuuk,GL,53.6,scattered clouds,64.18,-51.72,
10,Sayat,TM,55.4,clear sky,38.78,63.88,
11,Tabou,CI,77.38,light rain,4.42,-7.35,
13,Victoria,HK,75.0,scattered clouds,22.29,114.16,
14,Skibbereen,IE,53.6,broken clouds,51.55,-9.27,
15,Gazanjyk,TM,60.15,clear sky,39.24,55.52,
21,Inhambane,MZ,73.4,few clouds,-23.86,35.38,
22,Urumqi,CN,51.8,broken clouds,43.8,87.6,
24,Burgeo,CA,54.12,scattered clouds,47.62,-57.62,
25,Busselton,AU,57.99,clear sky,-33.65,115.33,
26,Yenagoa,NG,76.82,scattered clouds,4.92,6.26,
27,Saint-Joseph,RE,69.8,clear sky,-21.37,55.62,
31,Salalah,OM,78.8,clear sky,17.02,54.09,
32,Grindavik,IS,42.8,few clouds,63.84,-22.43,
33,Punta Arenas,CL,42.8,light intensity shower rain,-53.15,-70.92,
34,Nalut,LY,64.67,clear sky,30.33,10.85,
35,Hofn,IS,43.27,broken clouds,64.25,-15.21,
37,Two Rivers,US,45.0,clear sky,44.15,-87.57,
40,Haverfordwest,GB,50.0,broken clouds,51.8,-4.97,
41,Port Alfred,ZA,61.77,broken clouds,-33.59,26.89,
42,Shahr-E Babak,IR,44.83,clear sky,30.12,55.12,
46,Cidreira,BR,68.58,broken clouds,-30.18,-50.21,
47,Harper,LR,77.32,light rain,4.38,-7.72,
49,Takoradi,GH,77.38,few clouds,4.88,-1.76,
50,Warri,NG,76.75,clear sky,5.52,5.75,
51,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,
52,Coquimbo,CL,60.8,few clouds,-29.95,-71.34,
53,Zimovniki,RU,61.72,heavy intensity rain,47.15,42.46,
55,Hambantota,LK,77.99,overcast clouds,6.12,81.12,
56,Saint-Philippe,RE,69.8,clear sky,-21.36,55.77,
57,Ponta Do Sol,PT,73.4,broken clouds,32.67,-17.1,
59,Jamestown,US,57.0,overcast clouds,42.1,-79.24,
60,Ilulissat,GL,42.8,overcast clouds,69.22,-51.1,
61,Port Elizabeth,ZA,57.2,clear sky,-33.92,25.57,
62,Kulob,TJ,55.4,clear sky,37.91,69.78,
64,Muros,ES,57.99,light rain,42.78,-9.06,
66,Fafe,PT,64.99,overcast clouds,41.45,-8.17,
67,Nova Olimpia,BR,78.84,light rain,-14.8,-57.29,
68,Vestmannaeyjar,IS,45.1,scattered clouds,63.44,-20.27,
70,Saint-Augustin,CA,54.43,clear sky,51.23,-58.65,
71,Mar Del Plata,AR,71.6,scattered clouds,-38.0,-57.56,
73,Torres,BR,69.78,clear sky,-29.34,-49.73,
75,Bredasdorp,ZA,60.8,overcast clouds,-34.53,20.04,
76,Richards Bay,ZA,71.96,overcast clouds,-28.78,32.04,
77,Cape Town,ZA,61.0,few clouds,-33.93,18.42,
78,Tahta,EG,75.2,clear sky,26.77,31.5,
80,Betare Oya,CM,69.82,broken clouds,5.6,14.08,
82,Chuy,UY,72.48,clear sky,-33.7,-53.46,
83,Yei,SS,66.88,overcast clouds,4.09,30.68,
84,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,
87,Kutum,SD,77.58,clear sky,14.2,24.67,
88,Husavik,IS,41.0,overcast clouds,66.04,-17.34,
94,Botwood,CA,57.99,broken clouds,49.15,-55.35,
95,Kruisfontein,ZA,55.99,clear sky,-34.0,24.73,
96,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,
98,Barcelona,ES,61.0,scattered clouds,41.39,2.16,
101,Piranshahr,IR,48.61,clear sky,36.7,45.14,
102,Margate,GB,51.01,scattered clouds,51.38,1.39,
104,Vila Franca Do Campo,PT,59.0,few clouds,37.72,-25.43,
109,Buraydah,SA,73.4,clear sky,26.33,43.98,
110,Buchanan,LR,78.8,broken clouds,5.88,-10.05,
111,Svetlyy,RU,48.99,few clouds,54.67,20.13,
113,Lebu,CL,55.0,clear sky,-37.62,-73.65,
114,Hermanus,ZA,61.0,overcast clouds,-34.42,19.23,
115,Moi,NO,44.01,overcast clouds,58.46,6.55,
116,Kibakwe,TZ,64.69,clear sky,-6.72,36.37,
117,Fort Abbas,PK,75.09,clear sky,29.19,72.85,
118,Luau,AO,72.03,clear sky,-10.71,22.22,
119,Gwembe,ZM,69.03,clear sky,-16.5,27.61,
122,Taltal,CL,63.84,few clouds,-25.4,-70.48,
123,Santa Maria,BR,78.64,clear sky,-29.68,-53.81,
124,Castro,BR,66.04,overcast clouds,-24.79,-50.01,
125,Constitucion,CL,58.24,clear sky,-35.33,-72.42,
127,Zemlyansk,RU,44.6,broken clouds,51.9,38.73,
130,Tiznit,MA,69.78,overcast clouds,29.58,-9.5,
131,Pisco,PE,66.2,overcast clouds,-13.7,-76.22,
132,Pangnirtung,CA,46.4,light rain,66.15,-65.71,
