City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Afyonkarahisar,38.75,30.67,60.33,72,100,3.18,TR,moderate rain
1,Lagoa,39.05,-27.98,62.74,67,70,18.25,PT,broken clouds
2,Mitsamiouli,-11.38,43.28,78.58,76,3,8.28,KM,clear sky
3,Ushuaia,-54.8,-68.3,41.0,80,75,29.97,AR,heavy intensity rain
4,Ribeira Grande,38.52,-28.7,62.6,72,40,19.46,PT,scattered clouds
5,La Palma,33.85,-118.05,84.0,48,1,4.7,US,clear sky
6,Torbay,47.67,-52.73,54.0,100,90,8.05,CA,overcast clouds
7,Bonavista,48.65,-53.11,51.01,78,100,9.08,CA,overcast clouds
8,Nuuk,64.18,-51.72,53.6,50,40,20.8,GL,scattered clouds
9,Dedenevo,56.25,37.52,33.8,80,75,11.18,RU,broken clouds
10,Sayat,38.78,63.88,55.4,35,0,9.17,TM,clear sky
11,Tabou,4.42,-7.35,77.38,90,81,6.76,CI,light rain
12,Arlit,18.74,7.39,94.95,10,0,8.9,NE,clear sky
13,Victoria,22.29,114.16,75.0,75,27,10.51,HK,scattered clouds
14,Skibbereen,51.55,-9.27,53.6,93,75,11.41,IE,broken clouds
15,Gazanjyk,39.24,55.52,60.15,31,0,10.96,TM,clear sky
16,Krasnoselkup,65.7,82.47,17.31,96,100,16.89,RU,overcast clouds
17,Hobyo,5.35,48.53,80.01,77,3,18.12,SO,clear sky
18,Semirom,31.42,51.57,34.54,71,0,3.24,IR,clear sky
19,Jesup,31.61,-81.89,80.6,57,40,9.17,US,scattered clouds
20,Iqaluit,63.75,-68.51,32.0,98,90,20.8,CA,mist
21,Inhambane,-23.86,35.38,73.4,73,20,11.41,MZ,few clouds
22,Urumqi,43.8,87.6,51.8,32,67,6.71,CN,broken clouds
23,Hithadhoo,-0.6,73.08,83.37,77,100,15.61,MV,overcast clouds
24,Burgeo,47.62,-57.62,54.12,67,50,8.28,CA,scattered clouds
25,Busselton,-33.65,115.33,57.99,57,0,8.14,AU,clear sky
26,Yenagoa,4.92,6.26,76.82,92,29,4.9,NG,scattered clouds
27,Saint-Joseph,-21.37,55.62,69.8,68,2,3.36,RE,clear sky
28,Georgetown,5.41,100.34,80.6,83,20,3.36,MY,moderate rain
29,Andra,62.51,65.89,28.99,93,28,7.16,RU,scattered clouds
30,Funadhoo,6.15,73.27,82.06,79,79,14.36,MV,broken clouds
31,Salalah,17.02,54.09,78.8,34,0,4.7,OM,clear sky
32,Grindavik,63.84,-22.43,42.8,87,20,18.34,IS,few clouds
33,Punta Arenas,-53.15,-70.92,42.8,70,40,31.09,CL,light intensity shower rain
